Penetrance,CaseCars,ControlCars,TotControls,TotCases,Scenario
0.05,433,8235,7825419,79394,1
0.05,397,7554,6626142,67251,1
0.05,0,0,7059093,71303,1
0.05,0,0,6813486,68823,1
0.05,1763,33513,6625879,68352,1
0.05,636,12095,6755817,68754,1
0.05,643,12228,7273665,73990,1
0.05,0,0,7096897,71685,1
0.05,217,4133,7185694,72758,1
0.05,0,0,6305547,63692,1
0.05,315,5997,6967970,70637,1
0.05,0,0,7060316,71316,1
0.05,2177,41377,7835781,80908,1
0.05,0,0,6902835,69725,1
0.05,1861,35377,6526040,67423,1
0.05,1656,31464,7470395,76796,1
0.05,0,0,6991837,70624,1
0.05,0,0,6380529,64449,1
0.05,505,9597,7470475,75867,1
0.05,0,0,7724680,78027,1
0.05,10,207,7337821,74127,1
0.05,1415,26891,7735787,79282,1
0.05,137,2609,7491511,75782,1
0.05,0,0,6213848,62766,1
0.05,0,0,6931837,70018,1
0.05,0,0,6656475,67237,1
0.05,406,7723,7404803,75123,1
0.05,0,0,7262697,73360,1
0.05,865,16453,6611565,67482,1
0.05,393,7477,7681441,77907,1
0.05,0,0,6412066,64768,1
0.05,0,0,7719988,77979,1
0.05,0,0,7383516,74580,1
0.05,0,0,7292516,73661,1
0.05,0,0,7006788,70775,1
0.05,0,0,7005567,70763,1
0.05,0,0,7579462,76560,1
0.05,0,0,7651409,77286,1
0.05,0,0,7001716,70724,1
0.05,0,0,6785743,68542,1
0.05,0,0,7144716,72168,1
0.05,1607,30537,6583881,67802,1
0.05,0,0,7207477,72802,1
0.05,0,0,5597922,56544,1
0.05,0,0,7278094,73516,1
0.05,0,0,7540812,76169,1
0.05,51,988,6975160,70497,1
0.05,961,18265,7623542,77781,1
0.05,652,12406,6531409,66500,1
0.05,0,0,6297025,63606,1
0.05,221,4203,7274742,73660,1
0.05,0,0,6248444,63115,1
0.05,1518,28856,6842392,70341,1
0.05,0,0,6211157,62738,1
0.05,486,9238,6770654,68783,1
0.05,0,0,7646604,77238,1
0.05,101,1934,7806063,78930,1
0.05,256,4871,6725099,68137,1
0.05,1628,30948,6716520,69159,1
0.05,0,0,6711717,67795,1
0.05,692,13148,7132746,72607,1
0.05,0,0,6880387,69498,1
0.05,0,0,7863455,79428,1
0.05,287,5456,6793021,68848,1
0.05,2008,38156,6368082,65946,1
0.05,0,0,6904011,69737,1
0.05,795,15122,7933884,80782,1
0.05,0,0,6845792,69149,1
0.05,0,0,6984719,70552,1
0.05,0,0,6718120,67859,1
0.05,1587,30167,6774797,69714,1
0.05,220,4191,6608940,66934,1
0.05,0,0,6040041,61010,1
0.05,14,269,6827609,68977,1
0.05,0,0,6747420,68155,1
0.05,0,0,7052766,71240,1
0.05,0,0,6713861,67816,1
0.05,1028,19548,8598478,87683,1
0.05,257,4885,6858029,69480,1
0.05,0,0,7091295,71629,1
0.05,0,0,7053837,71250,1
0.05,0,0,6029534,60904,1
0.05,953,18122,7379407,75309,1
0.05,392,7455,6287926,63831,1
0.05,448,8528,6683756,67874,1
0.05,0,0,6531048,65970,1
0.05,858,16318,6829555,69678,1
0.05,0,0,7023462,70944,1
0.05,148,2823,6712344,67920,1
0.05,0,0,7284436,73580,1
0.05,922,17523,6990987,71361,1
0.05,316,6011,7372928,74729,1
0.05,0,0,7469284,75447,1
0.05,0,0,7391323,74659,1
0.05,0,0,7326334,74003,1
0.05,97,1843,7643525,77285,1
0.05,867,16491,6641481,67786,1
0.05,0,0,7601032,76778,1
0.05,0,0,7242776,73159,1
0.05,365,6949,6067770,61585,1
0.05,0,0,6572198,66385,1
0.05,0,0,6867252,69366,1
0.05,0,0,7629235,77062,1
0.05,482,9162,7061515,71717,1
0.05,345,6566,6543923,66378,1
0.05,0,0,6534627,66006,1
0.05,158,3013,6288392,63646,1
0.05,610,11607,7204777,73268,1
0.05,0,0,7185797,72583,1
0.05,670,12737,5537295,56473,1
0.05,0,0,7572982,76494,1
0.05,0,0,6439891,65049,1
0.05,1433,27244,7777393,79717,1
0.05,0,0,6625582,66925,1
0.05,0,0,6019855,60806,1
0.05,0,0,6755366,68236,1
0.05,0,0,6245791,63088,1
0.05,0,0,6449580,65147,1
0.05,0,0,6589440,66559,1
0.05,0,0,7450062,75253,1
0.05,400,7615,6352517,64489,1
0.05,0,0,6181748,62441,1
0.05,0,0,6560851,66271,1
0.05,2075,39438,6439833,66725,1
0.05,547,10411,7265525,73830,1
0.05,0,0,6636904,67039,1
0.05,0,0,7770793,78492,1
0.05,0,0,7228127,73011,1
0.05,920,17486,6336856,64752,1
0.05,1015,19300,7484281,76418,1
0.05,368,6996,7805682,79142,1
0.05,1173,22295,5960537,61155,1
0.05,0,0,5855968,59151,1
0.05,792,15063,7080848,72163,1
0.05,0,0,8174327,82568,1
0.05,0,0,6124047,61859,1
0.05,0,0,7064895,71362,1
0.05,103,1964,6775800,68525,1
0.05,0,0,6972546,70429,1
0.05,1138,21635,7413468,75802,1
0.05,0,0,6940343,70104,1
0.05,0,0,6589294,66558,1
0.05,0,0,7217023,72899,1
0.05,0,0,6843313,69124,1
0.05,0,0,7049259,71204,1
0.05,62,1194,6972717,70481,1
0.05,1315,24988,6756407,69309,1
0.05,0,0,6940384,70104,1
0.05,0,0,7484325,75599,1
0.05,891,16932,6141974,62760,1
0.05,0,0,7136488,72085,1
0.05,1774,33713,7772010,79938,1
0.05,301,5732,6889277,69831,1
0.05,1430,27178,7213135,74015,1
0.05,1208,22961,7047485,72162,1
0.05,0,0,7378369,74528,1
0.05,0,0,6872154,69415,1
0.05,0,0,7515514,75914,1
0.05,0,0,7058523,71298,1
0.05,535,10169,6882760,69955,1
0.05,0,0,7486493,75621,1
0.05,0,0,6976637,70471,1
0.05,1116,21222,7545563,77119,1
0.05,85,1624,6912873,69895,1
0.05,0,0,6868320,69376,1
0.05,801,15227,7767068,79102,1
0.05,0,0,6946449,70166,1
0.05,0,0,6956664,70269,1
0.05,0,0,6864330,69336,1
0.05,0,0,6087581,61490,1
0.05,743,14131,7969829,81103,1
0.05,0,0,7804928,78837,1
0.05,1167,22177,8114437,82906,1
0.05,137,2621,7263954,73483,1
0.05,1232,23426,6444191,66088,1
0.05,0,0,6293378,63569,1
0.05,0,0,6356863,64210,1
0.05,714,13573,7553279,76872,1
0.05,1770,33649,8162196,83876,1
0.05,1059,20130,7291977,74511,1
0.05,0,0,7770546,78490,1
0.05,0,0,8081538,81631,1
0.05,0,0,6490448,65560,1
0.05,0,0,7186523,72591,1
0.05,403,7668,6390694,64878,1
0.05,1168,22210,6232056,63893,1
0.05,164,3125,7206398,72924,1
0.05,949,18049,7078874,72270,1
0.05,0,0,7852905,79322,1
0.05,0,0,7238874,73119,1
0.05,0,0,7215906,72887,1
0.05,0,0,7707981,77858,1
0.05,0,0,6497153,65627,1
0.05,172,3276,7151691,72378,1
0.05,0,0,6719706,67875,1
0.05,0,0,7094812,71664,1
0.05,728,13846,6783775,69111,1
0.05,0,0,7221103,72940,1
0.05,535,10168,6847767,69601,1
0.05,1030,19578,8265313,84320,1
0.05,1433,27232,7181295,73696,1
0.05,382,7273,7617368,77251,1
0.05,2068,39301,7357851,75992,1
0.05,0,0,7689776,77674,1
0.05,550,10457,9014018,91495,1
0.05,0,0,7381992,74565,1
0.05,813,15459,6774798,69089,1
0.05,53,1017,7608853,76899,1
0.05,0,0,6973848,70442,1
0.05,426,8094,6939163,70436,1
0.05,0,0,7539625,76157,1
0.05,0,0,7255545,73288,1
0.05,0,0,8424776,85098,1
0.05,0,0,6530626,65965,1
0.05,0,0,6000589,60612,1
0.05,549,10447,7468018,75878,1
0.05,667,12678,6674373,67956,1
0.05,129,2453,7038421,71199,1
0.05,0,0,7505373,75811,1
0.05,0,0,6893508,69631,1
0.05,724,13758,7073732,72036,1
0.05,0,0,7631839,77089,1
0.05,0,0,7386992,74616,1
0.05,0,0,6935197,70052,1
0.05,570,10838,6968625,70850,1
0.05,386,7334,7611970,77200,1
0.05,0,0,7333472,74075,1
0.05,0,0,7084263,71558,1
0.05,0,0,6250286,63134,1
0.05,1827,34715,6860722,70776,1
0.05,0,0,7100203,71719,1
0.05,2505,47603,7911395,81937,1
0.05,0,0,7762152,78405,1
0.05,87,1663,7010249,70880,1
0.05,0,0,7131822,72038,1
0.05,0,0,7101097,71728,1
0.05,0,0,6693094,67607,1
0.05,603,11463,6357689,64706,1
0.05,0,0,7254999,73282,1
0.05,0,0,7301802,73755,1
0.05,682,12976,7191218,73189,1
0.05,0,0,6963049,70333,1
0.05,0,0,7263156,73365,1
0.05,0,0,6584367,66508,1
0.05,0,0,6603235,66699,1
0.05,0,0,6754039,68222,1
0.05,3,63,6738029,68063,1
0.05,248,4719,6123824,62057,1
0.05,0,0,6854798,69240,1
0.05,897,17056,7799340,79505,1
0.05,369,7012,6163224,62552,1
0.05,0,0,6288908,63524,1
0.05,0,0,7146523,72187,1
0.05,0,0,8087566,81692,1
0.05,595,11316,8177367,83080,1
0.05,0,0,7658502,77358,1
0.05,1247,23694,6943181,71140,1
0.05,0,0,6982968,70535,1
0.05,745,14166,7100992,72329,1
0.05,0,0,5982818,60432,1
0.05,0,0,7656573,77339,1
0.05,358,6807,6793474,68910,1
0.05,438,8327,7127923,72353,1
0.05,0,0,7045475,71166,1
0.05,0,0,7186580,72591,1
0.05,0,0,7656815,77341,1
0.05,179,3419,7179156,72661,1
0.05,0,0,6782949,68514,1
0.05,1597,30345,7257752,74601,1
0.05,407,7739,6876659,69790,1
0.05,1844,35053,7994132,82238,1
0.05,500,9518,6259666,63632,1
0.05,1186,22548,7089027,72564,1
0.05,0,0,7211812,72846,1
0.05,0,0,7216119,72890,1
0.05,0,0,6898651,69683,1
0.05,0,0,7335136,74092,1
0.05,585,11118,6686428,68012,1
0.05,179,3410,7402150,74913,1
0.05,2,43,7973085,80537,1
0.05,0,0,7828496,79075,1
0.05,0,0,6828227,68971,1
0.05,0,0,7251983,73252,1
0.05,319,6078,6732911,68266,1
0.05,9,185,7822882,79026,1
0.05,128,2445,6967659,70483,1
0.05,0,0,7293021,73666,1
0.05,0,0,7064414,71357,1
0.05,0,0,6989001,70595,1
0.05,476,9045,6898486,70066,1
0.05,1111,21124,7793967,79624,1
0.05,0,0,6358255,64224,1
0.05,0,0,7389610,74642,1
0.05,495,9407,7698891,78166,1
0.05,0,0,6907658,69774,1
0.05,0,0,6334304,63982,1
0.05,0,0,6712797,67806,1
0.05,0,0,7426850,75018,1
0.05,360,6841,7544769,76500,1
0.05,0,0,7967838,80483,1
0.05,1010,19204,7228181,73827,1
0.05,826,15711,7659451,78035,1
0.05,1545,29367,8141625,83486,1
0.05,0,0,7072172,71436,1
0.05,200,3814,8230702,83299,1
0.05,0,0,7997233,80780,1
0.05,0,0,6580402,66468,1
0.05,0,0,6986433,70570,1
0.05,0,0,6265567,63288,1
0.05,59,1129,7228302,73060,1
0.05,665,12648,6766384,68884,1
0.05,0,0,7619671,76966,1
0.05,0,0,7344305,74184,1
0.05,246,4678,7744829,78429,1
0.05,0,0,7204085,72768,1
0.05,0,0,6410878,64756,1
0.05,0,0,6760526,68288,1
0.05,0,0,6486078,65515,1
0.05,565,10742,7602973,77254,1
0.05,0,0,7252034,73252,1
0.05,0,0,6904968,69747,1
0.05,687,13055,6886086,70111,1
0.05,921,17501,6694549,68365,1
0.05,0,0,7555259,76315,1
0.05,716,13615,7493528,76270,1
0.05,0,0,7338453,74125,1
0.05,0,0,6963857,70341,1
0.05,0,0,7722324,78003,1
0.05,0,0,6323878,63877,1
0.05,0,0,6441964,65070,1
0.05,0,0,6507111,65728,1
0.05,0,0,6866253,69356,1
0.05,0,0,7483086,75586,1
0.05,0,0,7117033,71889,1
0.05,889,16904,7409680,75563,1
0.05,0,0,8507873,85938,1
0.05,340,6466,6697767,67928,1
0.05,0,0,7364452,74388,1
0.05,491,9342,7400302,75147,1
0.05,0,0,7403112,74778,1
0.05,1336,25391,7295574,74772,1
0.05,500,9509,6947324,70578,1
0.05,147,2798,6579049,66573,1
0.05,0,0,6357228,64214,1
0.05,0,0,7434027,75091,1
0.05,1162,22079,6725588,68874,1
0.05,69,1317,7417743,74982,1
0.05,0,0,6547901,66140,1
0.05,0,0,7873695,79532,1
0.05,0,0,6553695,66198,1
0.05,0,0,7060805,71321,1
0.05,1612,30636,7031179,72324,1
0.05,0,0,6411322,64760,1
0.05,704,13378,7285439,74159,1
0.05,273,5205,6497288,65849,1
0.05,0,0,6615180,66819,1
0.05,1201,22826,6976062,71435,1
0.05,0,0,6650447,67176,1
0.05,0,0,7258334,73316,1
0.05,677,12875,6742514,68653,1
0.05,178,3390,7073014,71588,1
0.05,1185,22519,7104018,72715,1
0.05,958,18220,7144818,72943,1
0.05,265,5045,8126868,82303,1
0.05,720,13681,8077597,82173,1
0.05,0,0,6649854,67170,1
0.05,0,0,6879321,69488,1
0.05,0,0,7110120,71819,1
0.05,0,0,7721813,77998,1
0.05,187,3560,6666871,67493,1
0.05,2910,55304,7404802,77147,1
0.05,0,0,6513994,65797,1
0.05,748,14228,6454853,65804,1
0.05,0,0,6877655,69471,1
0.05,690,13124,7304998,74345,1
0.05,1020,19380,6532602,66810,1
0.05,20,385,6587057,66552,1
0.05,1395,26522,7369856,75570,1
0.05,661,12572,6898068,70211,1
0.05,0,0,7317703,73916,1
0.05,948,18013,7017062,71645,1
0.05,1662,31588,6750788,69532,1
0.05,281,5344,6604942,66943,1
0.05,0,0,6369186,64335,1
0.05,0,0,7876004,79555,1
0.05,1829,34763,7360812,75829,1
0.05,0,0,7126580,71985,1
0.05,187,3566,7014545,71004,1
0.05,884,16800,6579558,67174,1
0.05,0,0,7682311,77599,1
0.05,323,6150,7370202,74707,1
0.05,0,0,7015058,70859,1
0.05,1016,19315,7205244,73601,1
0.05,112,2136,7072694,71531,1
0.05,113,2152,7904337,79933,1
0.05,0,0,6325239,63891,1
0.05,0,0,6376888,64413,1
0.05,0,0,6883539,69530,1
0.05,1892,35949,7748858,79800,1
0.05,0,0,7421254,74962,1
0.05,740,14066,6762734,68908,1
0.05,97,1854,6603963,66784,1
0.05,0,0,6842281,69113,1
0.05,0,15,6559512,66257,1
0.05,158,3011,6594353,66737,1
0.05,705,13413,7721321,78562,1
0.05,0,0,7081716,71532,1
0.05,731,13902,7168607,73000,1
0.05,1868,35505,6485257,67017,1
0.05,38,724,7311827,73887,1
0.05,377,7164,6306759,64009,1
0.05,2107,40035,7047848,72892,1
0.05,0,0,6487954,65534,1
0.05,464,8825,7780304,78963,1
0.05,0,0,6922658,69925,1
0.05,1375,26135,6792721,69724,1
